f09f9281;information_desk_person
e284b900;information_source
f09f94a0;capital_abcd
f09f94a4;abc
f09f94a1;abcd
f09f94a2;1234
f09f94a3;symbols
f09f8fae;izakaya_lantern
f09f8fae;lantern
f09f8e83;jack_o_lantern
f09f8faf;japanese_castle
f09f8e8e;dolls
f09f91ba;japanese_goblin
f09f91b9;japanese_ogre
f09f8fa3;post_office
f09f94b0;beginner
f09f9196;jeans
f09f95b9;joystick
f09f958b;kaaba
f09f9491;key
e28ca800;keyboard
2ae283a3;keycap_asterisk
38e283a3;keycap_digit_eight
35e283a3;keycap_digit_five
34e283a3;keycap_digit_four
39e283a3;keycap_digit_nine
31e283a3;keycap_digit_one
37e283a3;keycap_digit_seven
36e283a3;keycap_digit_six
33e283a3;keycap_digit_three
32e283a3;keycap_digit_two
30e283a3;keycap_digit_zero
23e283a3;keycap_number_sign
f09f949f;keycap_ten
f09f9198;kimono
f09f928f;couplekiss
f09f928b;kiss
f09f98bd;kissing_cat
f09f9897;kissing
f09f989a;kissing_closed_eyes
f09f9899;kissing_smiling_eyes
f09f90a8;koala
f09f8fb7;label
f09f909e;beetle
f09f94b5;large_blue_circle
f09f94b7;large_blue_diamond
f09f94b6;large_orange_diamond
f09f94b4;red_circle
f09f8c97;last_quarter_moon
f09f8c9c;last_quarter_moon_with_face
e29c9d00;latin_cross
f09f8d83;leaves
f09f9392;ledger
f09f948d;mag
f09f9b85;left_luggage
e2869400;left_right_arrow
e286a900;leftwards_arrow_with_hook
e2ac8500;arrow_left
f09f8d8b;lemon
e2998c00;leo
f09f9086;leopard
f09f8e9a;level_slider
e2998e00;libra
f09f9a88;light_rail
f09f9497;link
f09f9687;linked_paperclips
f09fa681;lion_face
f09f9284;lipstick
f09f9492;lock
f09f948f;lock_with_ink_pen
f09f8dad;lollipop
f09f98ad;sob
f09f8fa9;love_hotel
f09f928c;love_letter
f09f9485;low_brightness
f09f968a;lower_left_ballpoint_pen
f09f968d;lower_left_crayon
f09f968b;lower_left_fountain_pen
f09f968c;lower_left_paintbrush
f09f8084;mahjong
f09f91a8;man
f09f91ab;couple
f09f95b4;man_in_business_suit_levitating
f09f91b2;man_with_gua_pi_mao
f09f91b3;man_with_turban
f09f919e;mans_shoe
f09f919e;shoe
f09f95b0;mantelpiece_clock
f09f8d81;maple_leaf
f09f8d96;meat_on_bone
e29aab00;black_circle
e29aaa00;white_circle
f09f8d88;melon
f09f939d;memo
f09f939d;pencil
f09f958e;menorah_with_nine_branches
f09f9ab9;mens
f09f9a87;metro
f09f8ea4;microphone
f09f94ac;microscope
f09f8e96;military_medal
f09f8c8c;milky_way
f09f9a90;minibus
f09f92bd;minidisc
f09f93b1;iphone
f09f93b4;mobile_phone_off
f09f93b2;calling
f09fa491;money__mouth_face
f09f92b0;moneybag
f09f92b8;money_with_wings
f09f9092;monkey
f09f90b5;monkey_face
f09f9a9d;monorail
f09f8e91;rice_scene
f09f958c;mosque
f09f9ba5;motor_boat
f09f9ba3;motorway
f09f97bb;mount_fuji
e29bb000;mountain
f09f9ab5;mountain_bicyclist
f09f9aa0;mountain_cableway
f09f9a9e;mountain_railway
f09f9081;mouse2
f09f90ad;mouse
f09f9184;lips
f09f8ea5;movie_camera
f09f97bf;moyai
f09f8eb6;notes
f09f8d84;mushroom
f09f8eb9;musical_keyboard
f09f8eb5;musical_note
f09f8ebc;musical_score
f09f9285;nail_care
f09f939b;name_badge
f09f8f9e;national_park
f09f9194;necktie
f09f868e;ab
e29d8e00;negative_squared_cross_mark
f09f85b0;a
f09f85b1;b
f09f85be;o2
f09f85bf;parking
f09fa493;nerd_face
f09f9890;neutral_face
f09f8c91;new_moon
f09f909d;honeybee
f09f8c9a;new_moon_with_face
f09f93b0;newspaper
f09f8c83;night_with_stars
f09f9ab3;no_bicycles
e29b9400;no_entry
f09f9aab;no_entry_sign
f09f93b5;no_mobile_phones
f09f949e;underage
f09f9ab7;no_pedestrians
f09f9aad;no_smoking
f09f9ab1;non__potable_water
e2869700;arrow_upper_right
e2869600;arrow_upper_left
f09f9183;nose
f09f9393;notebook
f09f9394;notebook_with_decorative_cover
f09f94a9;nut_and_bolt
f09f9099;octopus
f09f8da2;oden
f09f8fa2;office
f09f9ba2;oil_drum
f09f918c;ok_hand
f09f979d;old_key
f09f91b4;older_man
f09f91b5;older_woman
f09f9589;om_symbol
f09f949b;on
f09f9a98;oncoming_automobile
f09f9a8d;oncoming_bus
f09f9a94;oncoming_police_car
f09f9a96;oncoming_taxi
f09f9396;book
f09f9396;open_book
f09f9382;open_file_folder
f09f9190;open_hands
f09f9493;unlock
f09f93ad;mailbox_with_no_mail
f09f93ac;mailbox_with_mail
e29b8e00;ophiuchus
f09f92bf;cd
f09f9399;orange_book
e298a600;orthodox_cross
f09f93a4;outbox_tray
f09f9082;ox
f09f93a6;package
f09f9384;page_facing_up
f09f9383;page_with_curl
f09f939f;pager
f09f8cb4;palm_tree
f09f90bc;panda_face
f09f938e;paperclip
e380bd00;part_alternation_mark
f09f8e89;tada
f09f9bb3;passenger_ship
f09f9b82;passport_control
f09f90be;feet
f09f90be;paw_prints
e298ae00;peace_symbol
f09f8d91;peach
f09f8d90;pear
f09f9ab6;walking
e29c8f00;pencil2
f09f90a7;penguin
f09f9894;pensive
f09f8ead;performing_arts
f09f98a3;persevere
f09f9987;bow
f09f998d;person_frowning
f09f998c;raised_hands
e29bb900;person_with_ball
f09f91b1;person_with_blond_hair
f09f998f;pray
f09f998e;person_with_pouting_face
f09f92bb;computer
e29b8f00;pick
f09f9096;pig2
f09f90b7;pig
f09f90bd;pig_nose
f09f92a9;hankey
f09f92a9;poop
f09f92a9;shit
f09f928a;pill
f09f8e8d;bamboo
f09f8d8d;pineapple
e2999300;pisces
f09f94ab;gun
f09f9b90;place_of_worship
f09f838f;black_joker
f09f9a93;police_car
f09f9aa8;rotating_light
f09f91ae;cop
f09f90a9;poodle
f09f8dbf;popcorn
f09f93af;postal_horn
f09f93ae;postbox
f09f8db2;stew
f09f9ab0;potable_water
f09f919d;pouch
f09f8d97;poultry_leg
f09f98be;pouting_cat
f09f98a1;rage
f09f93bf;prayer_beads
f09f91b8;princess
f09f96a8;printer
f09f93a2;loudspeaker
f09f929c;purple_heart
f09f919b;purse
f09f938c;pushpin
f09f9aae;put_litter_in_its_place
f09f9087;rabbit2
f09f90b0;rabbit
f09f8f8e;racing_car
f09f8f8d;racing_motorcycle
f09f93bb;radio
f09f9498;radio_button
e298a200;radioactive_sign
f09f9a83;railway_car
f09f9ba4;railway_track
f09f8c88;rainbow
e29c8a00;fist
e29c8b00;hand
e29c8b00;raised_hand
f09f9690;raised_hand_with_fingers_splayed
f09f9696;raised_hand_with_part_between_middle_and_ring_fingers
f09f908f;ram
f09f9080;rat
f09f9a99;blue_car
f09f8d8e;apple
c2ae0000;registered
f09f988c;relieved
f09f8e97;reminder_ribbon
f09f9abb;restroom
f09f9695;reversed_hand_with_middle_finger_extended
f09f929e;revolving_hearts
f09f8e80;ribbon
f09f8d99;rice_ball
f09f8d98;rice_cracker
f09f948e;mag_right
f09f97af;right_anger_bubble
e286aa00;arrow_right_hook
f09f928d;ring
f09f8da0;sweet_potato
f09fa496;robot_face
f09f9a80;rocket
f09f979e;rolled__up_newspaper
f09f8ea2;roller_coaster
f09f9093;rooster
f09f8cb9;rose
f09f8fb5;rosette
f09f938d;round_pushpin
f09f9aa3;rowboat
f09f8f89;rugby_football
f09f8f83;runner
f09f8f83;running
f09f8ebd;running_shirt_with_sash
e2999000;sagittarius
e29bb500;boat
e29bb500;sailboat
f09f8db6;sake
f09f93a1;satellite
f09f8eb7;saxophone
e29a9600;scales
f09f8fab;school
f09f8e92;school_satchel
f09fa682;scorpion
e2998f00;scorpius
f09f939c;scroll
f09f92ba;seat
f09f9988;see_no_evil
f09f8cb1;seedling
e2989800;shamrock
f09f8da7;shaved_ice
f09f9091;sheep
f09f9ba1;shield
e29ba900;shinto_shrine
f09f9aa2;ship
f09f8ca0;stars
f09f9b8d;shopping_bags
f09f8db0;cake
f09f9abf;shower
f09fa498;sign_of_the_horns
f09f97be;japan
f09f94af;six_pointed_star
f09f8ebf;ski
e29bb700;skier
f09f9280;skull
e298a000;skull_and_crossbones
f09f9b8c;sleeping_accommodation
f09f98b4;sleeping
f09f92a4;zzz
